Game_num,Date,Home_away,Team,Opponent,Game_type,Won,Team_pts,Opp_pts,Team_FG%,Team_3P%,Team_2P%,Team_eFG%,Team_FT%,Team_ORB,Team_DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Opponent_FG%,Opponent_3P%,Opponent_2P%,Opponent_eFG%,Opponent_FT%,Opponent_ORB,Opponent_DRB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF
13.0,2024-12-22,1,southern-california,southern,REG (Non-Conf),1,82,51,0.48,0.353,0.545,0.54,0.8,7,28,35,17,11,6,14,15,0.327,0.105,0.455,0.346,0.682,7,15,22,8,8,1,18,25
14.0,2025-01-04,1,southern-california,michigan,REG (Conf),0,74,85,0.435,0.333,0.477,0.484,0.636,9,17,26,19,5,2,12,21,0.527,0.417,0.613,0.618,0.81,7,24,31,19,8,7,13,21
15.0,2025-01-08,0,southern-california,indiana,REG (Conf),0,69,82,0.41,0.231,0.543,0.459,0.722,6,25,31,15,5,4,7,20,0.439,0.286,0.511,0.485,0.783,7,24,31,17,4,3,6,13
16.0,2025-01-11,0,southern-california,illinois,REG (Conf),1,82,72,0.523,0.357,0.569,0.562,0.818,7,25,32,11,7,1,14,19,0.371,0.219,0.533,0.427,0.905,10,24,34,13,6,4,15,15
17.0,2025-01-14,1,southern-california,iowa,REG (Conf),1,99,89,0.649,0.667,0.643,0.737,0.6,9,26,35,27,4,2,11,14,0.533,0.458,0.583,0.625,0.737,4,14,18,20,8,3,8,20
18.0,2025-01-18,1,southern-california,wisconsin,REG (Conf),0,69,84,0.491,0.4,0.526,0.547,0.647,6,18,24,13,6,0,15,18,0.564,0.321,0.815,0.645,0.867,4,18,22,17,8,1,11,14
19.0,2025-01-22,0,southern-california,nebraska,REG (Conf),1,78,73,0.443,0.286,0.525,0.492,0.818,12,18,30,12,8,1,9,16,0.491,0.208,0.71,0.536,0.824,4,25,29,12,6,4,11,18
20.0,2025-01-27,1,southern-california,ucla,REG (Conf),0,76,82,0.491,0.355,0.667,0.591,0.579,9,15,24,17,4,0,10,18,0.549,0.375,0.629,0.608,0.8,7,20,27,14,6,5,8,18
21.0,2025-02-01,1,southern-california,michigan-state,REG (Conf),1,70,64,0.421,0.318,0.486,0.482,0.789,10,19,29,9,2,2,9,20,0.421,0.333,0.452,0.465,0.579,9,22,31,16,5,3,12,17
22.0,2025-02-04,0,southern-california,northwestern,REG (Conf),0,75,77,0.51,0.5,0.515,0.598,0.667,6,20,26,15,2,4,9,20,0.409,0.316,0.447,0.455,0.739,19,19,38,14,3,2,6,18
23.0,2025-02-07,0,southern-california,purdue,REG (Conf),0,72,90,0.413,0.154,0.595,0.444,0.552,11,17,28,10,6,5,10,22,0.5,0.231,0.675,0.545,0.692,15,28,43,19,8,2,10,24
24.0,2025-02-11,1,southern-california,penn-state,REG (Conf),1,92,67,0.673,0.75,0.636,0.796,0.824,3,23,26,23,7,3,15,22,0.429,0.269,0.609,0.5,0.643,8,14,22,10,7,2,14,20
25.0,2025-02-15,1,southern-california,minnesota,REG (Conf),0,66,69,0.438,0.6,0.364,0.531,0.833,6,20,26,14,4,7,14,19,0.439,0.278,0.513,0.482,0.7,11,21,32,14,10,3,10,17
26.0,2025-02-20,0,southern-california,maryland,REG (Conf),0,71,88,0.46,0.318,0.537,0.516,0.75,2,22,24,13,7,3,9,16,0.492,0.4,0.535,0.556,0.857,8,32,40,14,8,4,9,9
27.0,2025-02-23,0,southern-california,rutgers,REG (Conf),0,85,95,0.515,0.467,0.529,0.568,0.714,15,15,30,10,8,2,16,21,0.556,0.45,0.618,0.639,0.929,10,15,25,16,10,8,13,15
28.0,2025-02-26,1,southern-california,ohio-state,REG (Conf),0,82,87,0.6,0.389,0.741,0.678,0.808,3,15,18,21,6,1,13,21,0.54,0.55,0.533,0.65,0.846,5,10,15,18,7,3,11,22
29.0,2025-03-01,0,southern-california,oregon,REG (Conf),0,61,82,0.344,0.227,0.41,0.385,0.778,15,22,37,9,11,9,16,12,0.478,0.37,0.55,0.552,0.8,13,22,35,15,13,7,12,18
30.0,2025-03-05,1,southern-california,washington,REG (Conf),1,92,61,0.564,0.577,0.552,0.7,0.938,6,24,30,24,11,1,10,17,0.431,0.391,0.464,0.52,0.571,4,17,21,21,5,2,16,19
31.0,2025-03-08,0,southern-california,ucla,REG (Conf),0,63,90,0.429,0.316,0.5,0.49,0.833,9,16,25,11,8,4,20,11,0.617,0.455,0.711,0.7,0.667,6,18,24,28,12,3,12,12
32.0,2025-03-12,2,southern-california,rutgers,CTOURN,1,97,89,0.517,0.435,0.568,0.6,0.806,9,27,36,19,6,0,18,15,0.429,0.2,0.574,0.468,0.773,13,21,34,21,9,5,11,20
33.0,2025-03-13,2,southern-california,purdue,CTOURN,0,71,76,0.435,0.292,0.526,0.492,0.714,14,17,31,12,3,3,10,22,0.473,0.391,0.531,0.555,0.652,12,19,31,13,2,2,9,15
34.0,2025-04-01,2,southern-california,tulane,CBC,1,89,60,0.636,0.5,0.703,0.718,0.588,4,34,38,21,7,7,14,17,0.339,0.318,0.353,0.402,0.682,5,18,23,10,11,1,14,16
35.0,2025-04-03,2,southern-california,villanova,CBC,0,59,60,0.424,0.208,0.571,0.466,0.571,5,28,33,10,4,2,8,12,0.379,0.36,0.394,0.457,0.636,8,28,36,9,4,2,8,15
1.0,2024-11-04,1,ucla,rider,REG (Non-Conf),1,85,50,0.523,0.345,0.667,0.6,0.583,13,28,41,21,6,9,9,13,0.317,0.25,0.349,0.357,0.385,16,18,34,13,6,2,11,17
2.0,2024-11-08,2,ucla,new-mexico,REG (Non-Conf),0,64,72,0.364,0.217,0.469,0.409,0.704,13,19,32,13,12,3,21,24,0.51,0.4,0.559,0.571,0.696,6,23,29,14,12,3,22,26
3.0,2024-11-11,1,ucla,boston-university,REG (Non-Conf),1,71,40,0.4,0.227,0.5,0.442,0.857,11,24,35,14,14,2,15,15,0.304,0.25,0.364,0.37,0.667,6,19,25,10,9,1,27,22
4.0,2024-11-15,1,ucla,lehigh,REG (Non-Conf),1,85,45,0.554,0.231,0.651,0.58,0.769,10,31,41,14,5,0,8,19,0.294,0.25,0.333,0.353,0.6,4,14,18,7,2,0,11,20
5.0,2024-11-20,1,ucla,idaho-state,REG (Non-Conf),1,84,70,0.574,0.643,0.545,0.67,0.808,7,16,23,16,7,0,11,18,0.444,0.333,0.619,0.546,0.786,10,10,20,12,6,1,11,21
6.0,2024-11-22,1,ucla,cal-state-fullerton,REG (Non-Conf),1,80,47,0.5,0.333,0.571,0.55,0.609,9,18,27,22,14,4,7,14,0.288,0.208,0.357,0.337,0.923,11,25,36,10,6,0,19,19
7.0,2024-11-26,1,ucla,southern-utah,REG (Non-Conf),1,88,43,0.475,0.3,0.533,0.513,0.667,16,20,36,21,15,4,8,20,0.35,0.25,0.417,0.4,0.733,4,18,22,8,1,5,30,16
8.0,2024-12-03,1,ucla,washington,REG (Conf),1,69,58,0.417,0.381,0.436,0.483,0.5,11,22,33,16,6,3,7,17,0.388,0.188,0.485,0.418,0.708,10,28,38,12,6,1,12,19
9.0,2024-12-08,0,ucla,oregon,REG (Conf),1,73,71,0.452,0.522,0.41,0.548,0.714,6,17,23,10,7,1,8,15,0.473,0.429,0.5,0.555,0.714,9,24,33,15,6,5,12,11
10.0,2024-12-14,2,ucla,arizona,REG (Non-Conf),1,57,54,0.451,0.19,0.633,0.49,0.438,5,14,19,10,10,1,14,16,0.452,0.125,0.654,0.476,0.737,8,21,29,11,8,2,22,16
11.0,2024-12-17,1,ucla,prairie-view-am,REG (Non-Conf),1,111,75,0.59,0.476,0.65,0.672,0.784,12,26,38,26,6,4,10,20,0.471,0.476,0.467,0.569,0.708,5,15,20,16,8,2,16,23
12.0,2024-12-21,2,ucla,north-carolina,REG (Non-Conf),0,74,76,0.491,0.5,0.486,0.575,0.591,7,21,28,17,10,1,12,25,0.468,0.348,0.583,0.553,0.686,6,24,30,11,4,4,18,22
13.0,2024-12-28,2,ucla,gonzaga,REG (Non-Conf),1,65,62,0.364,0.5,0.258,0.473,0.722,11,24,35,16,9,3,11,15,0.455,0.292,0.581,0.518,0.625,8,22,30,17,3,2,15,15
14.0,2025-01-04,0,ucla,nebraska,REG (Conf),0,58,66,0.386,0.143,0.621,0.421,0.769,6,26,32,13,5,2,15,24,0.327,0.28,0.37,0.394,0.862,7,28,35,11,10,1,13,16
15.0,2025-01-07,1,ucla,michigan,REG (Conf),0,75,94,0.417,0.1,0.575,0.433,0.676,9,15,24,13,10,3,6,18,0.615,0.536,0.708,0.76,0.714,4,30,34,24,6,3,16,24
16.0,2025-01-10,0,ucla,maryland,REG (Conf),0,61,79,0.415,0.333,0.457,0.472,0.786,14,14,28,11,6,0,20,19,0.54,0.368,0.645,0.61,0.857,7,17,24,12,12,5,15,19
17.0,2025-01-13,0,ucla,rutgers,REG (Conf),0,68,75,0.424,0.316,0.475,0.475,0.8,7,17,24,11,7,2,9,23,0.462,0.3,0.563,0.519,0.677,10,25,35,9,5,7,10,17
18.0,2025-01-17,1,ucla,iowa,REG (Conf),1,94,70,0.621,0.348,0.8,0.69,0.7,10,17,27,26,10,0,7,18,0.447,0.375,0.522,0.543,0.76,9,10,19,14,3,2,14,16
19.0,2025-01-21,1,ucla,wisconsin,REG (Conf),1,85,83,0.509,0.316,0.605,0.561,0.75,10,14,24,15,6,4,6,21,0.51,0.5,0.526,0.663,0.857,4,18,22,14,3,1,13,23
20.0,2025-01-24,0,ucla,washington,REG (Conf),1,65,60,0.411,0.529,0.359,0.491,0.714,9,22,31,10,9,8,11,14,0.415,0.227,0.548,0.462,0.733,8,25,33,8,3,5,14,16
21.0,2025-01-27,0,ucla,southern-california,REG (Conf),1,82,76,0.549,0.375,0.629,0.608,0.8,7,20,27,14,6,5,8,18,0.491,0.355,0.667,0.591,0.579,9,15,24,17,4,0,10,18
22.0,2025-01-30,1,ucla,oregon,REG (Conf),1,78,52,0.556,0.478,0.613,0.657,0.583,6,22,28,19,7,4,7,13,0.412,0.174,0.607,0.451,0.6,7,15,22,15,3,0,13,17
23.0,2025-02-04,1,ucla,michigan-state,REG (Conf),1,63,61,0.35,0.25,0.438,0.408,0.737,6,18,24,13,8,2,3,18,0.377,0.227,0.484,0.425,0.842,12,29,41,13,3,4,15,15
24.0,2025-02-08,1,ucla,penn-state,REG (Conf),1,78,54,0.47,0.263,0.553,0.508,0.733,11,21,32,21,13,4,3,12,0.38,0.238,0.483,0.43,0.917,7,24,31,7,1,4,17,12
25.0,2025-02-11,0,ucla,illinois,REG (Conf),0,78,83,0.483,0.522,0.457,0.586,0.667,4,17,21,16,8,1,7,14,0.509,0.393,0.64,0.613,0.9,9,24,33,15,3,3,14,14
26.0,2025-02-14,0,ucla,indiana,REG (Conf),1,72,68,0.473,0.45,0.486,0.555,0.786,8,27,35,16,3,4,11,15,0.403,0.241,0.545,0.46,0.786,9,20,29,12,8,1,7,14
27.0,2025-02-18,1,ucla,minnesota,REG (Conf),0,61,64,0.451,0.4,0.472,0.51,0.474,10,15,25,13,7,1,9,17,0.458,0.333,0.583,0.542,0.923,7,18,25,12,7,3,12,17
28.0,2025-02-23,1,ucla,ohio-state,REG (Conf),1,69,61,0.404,0.4,0.405,0.474,0.75,13,25,38,17,7,7,13,16,0.317,0.222,0.389,0.365,0.938,10,18,28,10,8,4,8,16
29.0,2025-02-28,0,ucla,purdue,REG (Conf),0,66,76,0.48,0.278,0.594,0.53,0.813,12,18,30,19,4,2,14,18,0.519,0.5,0.533,0.625,0.688,6,16,22,14,9,1,9,17
30.0,2025-03-03,0,ucla,northwestern,REG (Conf),1,73,69,0.466,0.304,0.571,0.526,0.75,13,25,38,19,6,6,12,16,0.472,0.368,0.529,0.538,0.857,4,20,24,17,6,3,8,16
31.0,2025-03-08,1,ucla,southern-california,REG (Conf),1,90,63,0.617,0.455,0.711,0.7,0.667,6,18,24,28,12,3,12,12,0.429,0.316,0.5,0.49,0.833,9,16,25,11,8,4,20,11
32.0,2025-03-14,2,ucla,wisconsin,CTOURN,0,70,86,0.324,0.3,0.342,0.39,0.654,19,19,38,13,4,3,5,19,0.517,0.594,0.423,0.681,0.538,7,29,36,22,2,4,9,21
33.0,2025-03-20,2,ucla,utah-state,ROUND-64,1,72,47,0.481,0.417,0.533,0.574,1.0,6,27,33,22,6,7,9,11,0.3,0.129,0.483,0.333,0.7,15,16,31,9,6,2,11,11
34.0,2025-03-22,2,ucla,tennessee,ROUND-32,0,58,67,0.358,0.304,0.4,0.425,0.786,8,15,23,10,10,4,11,19,0.429,0.5,0.37,0.541,0.875,9,21,30,15,7,2,15,14
1.0,2024-11-04,1,purdue,texas-am–corpus-christi,REG (Non-Conf),1,90,73,0.564,0.423,0.69,0.664,0.63,8,29,37,24,4,6,16,7,0.448,0.316,0.5,0.493,1.0,6,19,25,14,10,0,9,25
2.0,2024-11-08,1,purdue,northern-kentucky,REG (Non-Conf),1,72,50,0.529,0.409,0.621,0.618,0.643,8,22,30,19,8,2,13,15,0.298,0.217,0.353,0.342,0.786,14,18,32,11,8,1,12,14
3.0,2024-11-11,1,purdue,yale,REG (Non-Conf),1,92,84,0.538,0.478,0.586,0.644,0.781,5,25,30,17,7,1,10,18,0.508,0.308,0.641,0.569,0.526,11,19,30,21,2,1,10,24
4.0,2024-11-15,1,purdue,alabama,REG (Non-Conf),1,87,78,0.492,0.563,0.468,0.563,0.64,10,24,34,18,2,4,3,17,0.444,0.31,0.559,0.516,0.867,10,26,36,18,1,6,8,22
5.0,2024-11-19,0,purdue,marquette,REG (Non-Conf),0,58,76,0.4,0.333,0.438,0.46,0.667,4,25,29,16,2,0,13,13,0.45,0.32,0.543,0.517,0.933,6,27,33,13,11,5,6,17
6.0,2024-11-23,1,purdue,marshall,REG (Non-Conf),1,80,45,0.5,0.375,0.563,0.563,0.788,6,22,28,18,8,1,13,17,0.302,0.125,0.571,0.34,0.529,14,16,30,6,8,2,19,26
7.0,2024-11-28,2,purdue,nc-state,REG (Non-Conf),1,71,61,0.426,0.313,0.474,0.472,0.769,11,25,36,12,4,1,6,18,0.434,0.235,0.528,0.472,0.733,7,18,25,13,4,4,7,21
8.0,2024-11-29,2,purdue,ole-miss,REG (Non-Conf),1,80,78,0.542,0.455,0.615,0.646,0.692,9,26,35,19,2,3,10,12,0.426,0.417,0.44,0.549,0.846,7,15,22,16,7,1,6,20
9.0,2024-12-05,0,purdue,penn-state,REG (Conf),0,70,81,0.511,0.381,0.615,0.596,0.737,4,18,22,17,9,0,22,21,0.489,0.389,0.552,0.564,0.875,7,19,26,14,14,2,16,20
10.0,2024-12-08,1,purdue,maryland,REG (Conf),1,83,78,0.485,0.346,0.575,0.553,0.769,9,23,32,13,4,4,8,13,0.455,0.423,0.475,0.538,0.778,10,22,32,15,4,5,10,18
11.0,2024-12-14,2,purdue,texas-am,REG (Non-Conf),0,66,70,0.453,0.346,0.556,0.538,0.9,5,14,19,16,11,3,16,20,0.44,0.409,0.464,0.53,0.708,11,18,29,14,11,4,16,11
12.0,2024-12-21,2,purdue,auburn,REG (Non-Conf),0,69,87,0.39,0.348,0.417,0.458,0.652,10,18,28,13,6,1,10,9,0.545,0.385,0.65,0.621,0.556,11,25,36,24,7,6,9,18
13.0,2024-12-29,1,purdue,toledo,REG (Non-Conf),1,83,64,0.492,0.357,0.6,0.571,0.733,10,21,31,22,9,2,6,15,0.406,0.143,0.48,0.422,0.625,17,23,40,7,5,1,13,13
14.0,2025-01-02,0,purdue,minnesota,REG (Conf),1,81,61,0.5,0.44,0.545,0.595,0.75,9,21,30,21,3,1,2,15,0.481,0.235,0.6,0.519,0.438,9,21,30,17,1,5,7,15
15.0,2025-01-05,1,purdue,northwestern,REG (Conf),1,79,61,0.509,0.4,0.571,0.582,0.833,8,26,34,14,7,2,11,14,0.383,0.28,0.457,0.442,0.667,10,15,25,14,7,5,13,17
16.0,2025-01-09,0,purdue,rutgers,REG (Conf),1,68,50,0.5,0.167,0.75,0.536,0.5,8,24,32,18,7,4,8,17,0.327,0.304,0.345,0.394,0.818,10,25,35,11,3,2,15,18
17.0,2025-01-12,1,purdue,nebraska,REG (Conf),1,104,68,0.631,0.576,0.688,0.777,0.5,7,23,30,32,11,3,10,10,0.481,0.222,0.741,0.537,0.909,4,14,18,15,9,2,17,10
18.0,2025-01-15,0,purdue,washington,REG (Conf),1,69,58,0.5,0.231,0.595,0.53,0.727,6,23,29,9,12,3,10,12,0.426,0.409,0.44,0.521,0.643,6,22,28,13,8,1,17,18
19.0,2025-01-18,0,purdue,oregon,REG (Conf),1,65,58,0.339,0.167,0.386,0.357,0.833,9,22,31,10,8,0,11,17,0.36,0.241,0.524,0.43,0.882,2,21,23,12,8,7,16,23
20.0,2025-01-21,1,purdue,ohio-state,REG (Conf),0,70,73,0.481,0.333,0.511,0.509,0.75,9,15,24,15,5,0,10,17,0.533,0.478,0.591,0.656,0.824,5,19,24,13,5,3,18,22
21.0,2025-01-24,1,purdue,michigan,REG (Conf),1,91,64,0.548,0.375,0.658,0.621,0.667,8,20,28,17,14,1,6,16,0.37,0.207,0.56,0.426,0.857,12,20,32,16,4,1,22,16
22.0,2025-01-31,1,purdue,indiana,REG (Conf),1,81,76,0.527,0.154,0.643,0.545,0.75,10,14,24,9,13,1,10,14,0.566,0.368,0.676,0.632,0.563,11,18,29,14,4,2,20,21
23.0,2025-02-04,0,purdue,iowa,REG (Conf),1,90,81,0.526,0.48,0.563,0.632,0.783,10,23,33,13,9,1,11,13,0.517,0.367,0.679,0.612,0.625,6,19,25,19,5,4,11,18
24.0,2025-02-07,1,purdue,southern-california,REG (Conf),1,90,72,0.5,0.231,0.675,0.545,0.692,15,28,43,19,8,2,10,24,0.413,0.154,0.595,0.444,0.552,11,17,28,10,6,5,10,22
25.0,2025-02-11,0,purdue,michigan,REG (Conf),0,73,75,0.435,0.35,0.469,0.486,0.75,9,21,30,9,7,1,11,23,0.446,0.304,0.545,0.509,0.692,12,21,33,7,5,5,11,13
26.0,2025-02-15,1,purdue,wisconsin,REG (Conf),0,84,94,0.518,0.455,0.559,0.607,0.762,3,21,24,21,2,0,4,21,0.615,0.4,0.909,0.731,0.75,2,21,23,18,2,4,3,14
27.0,2025-02-18,0,purdue,michigan-state,REG (Conf),0,66,75,0.511,0.375,0.652,0.606,0.818,5,15,20,16,4,3,12,20,0.583,0.308,0.686,0.625,0.714,5,17,22,20,10,2,6,13
28.0,2025-02-23,0,purdue,indiana,REG (Conf),0,58,73,0.426,0.438,0.419,0.5,0.733,5,21,26,9,5,0,15,19,0.519,0.211,0.686,0.556,0.65,5,18,23,18,9,4,7,16
29.0,2025-02-28,1,purdue,ucla,REG (Conf),1,76,66,0.519,0.5,0.533,0.625,0.688,6,16,22,14,9,1,9,17,0.48,0.278,0.594,0.53,0.813,12,18,30,19,4,2,14,18
30.0,2025-03-04,1,purdue,rutgers,REG (Conf),1,100,71,0.561,0.5,0.633,0.697,0.889,14,24,38,19,6,1,9,14,0.439,0.32,0.531,0.509,0.619,8,13,21,10,3,1,9,12
31.0,2025-03-07,0,purdue,illinois,REG (Conf),0,80,88,0.508,0.278,0.6,0.548,0.846,4,23,27,14,5,1,7,21,0.491,0.367,0.63,0.588,0.84,4,22,26,20,3,2,8,13
32.0,2025-03-13,2,purdue,southern-california,CTOURN,1,76,71,0.473,0.391,0.531,0.555,0.652,12,19,31,13,2,2,9,15,0.435,0.292,0.526,0.492,0.714,14,17,31,12,3,3,10,22
33.0,2025-03-14,2,purdue,michigan,CTOURN,0,68,86,0.338,0.318,0.349,0.392,0.773,14,17,31,11,3,1,5,17,0.517,0.308,0.688,0.586,0.818,9,31,40,25,3,3,6,20
34.0,2025-03-20,2,purdue,high-point,ROUND-64,1,75,63,0.459,0.333,0.5,0.5,0.636,17,22,39,10,4,0,7,13,0.434,0.357,0.52,0.528,0.636,5,15,20,13,4,2,8,20
35.0,2025-03-22,2,purdue,mcneese-state,ROUND-32,1,76,62,0.451,0.423,0.48,0.559,0.826,10,26,36,17,6,1,17,13,0.446,0.333,0.514,0.509,0.385,7,17,24,12,11,2,11,20
36.0,2025-03-28,2,purdue,houston,ROUND-16,0,60,62,0.404,0.296,0.52,0.481,0.833,5,20,25,20,4,2,6,13,0.377,0.391,0.368,0.451,0.636,12,18,30,16,4,1,7,14
1.0,2024-11-04,1,michigan-state,monmouth,REG (Non-Conf),1,81,57,0.492,0.167,0.628,0.516,0.667,12,29,41,23,6,8,13,15,0.279,0.296,0.265,0.344,0.938,7,19,26,9,7,2,14,23
2.0,2024-11-07,1,michigan-state,niagara,REG (Non-Conf),1,96,60,0.522,0.333,0.592,0.567,0.8,15,28,43,20,6,1,9,15,0.377,0.346,0.407,0.462,0.611,5,18,23,11,5,1,15,22
3.0,2024-11-12,2,michigan-state,kansas,REG (Non-Conf),0,69,77,0.348,0.125,0.467,0.37,0.857,10,29,39,11,5,4,10,18,0.406,0.294,0.442,0.442,0.727,9,34,43,17,7,5,10,19
4.0,2024-11-16,1,michigan-state,bowling-green,REG (Non-Conf),1,86,72,0.458,0.2,0.59,0.492,0.875,13,27,40,20,7,7,11,12,0.435,0.192,0.611,0.476,0.929,5,18,23,12,8,4,12,26
5.0,2024-11-19,1,michigan-state,samford,REG (Non-Conf),1,83,75,0.509,0.292,0.677,0.573,0.87,8,20,28,21,13,2,14,15,0.491,0.346,0.613,0.57,0.714,11,18,29,20,7,4,19,21
6.0,2024-11-25,2,michigan-state,colorado,REG (Non-Conf),1,72,56,0.492,0.095,0.7,0.508,0.769,9,28,37,11,6,4,11,17,0.37,0.211,0.457,0.407,0.6,5,22,27,13,7,1,12,14
7.0,2024-11-26,2,michigan-state,memphis,REG (Non-Conf),0,63,71,0.423,0.35,0.469,0.49,0.632,8,23,31,15,1,2,13,16,0.473,0.348,0.563,0.545,0.786,6,20,26,10,4,2,8,19
8.0,2024-11-27,2,michigan-state,north-carolina,REG (Non-Conf),1,94,91,0.541,0.25,0.644,0.574,0.774,7,28,35,16,7,4,10,19,0.5,0.478,0.512,0.586,0.762,5,23,28,17,8,4,11,22
9.0,2024-12-04,0,michigan-state,minnesota,REG (Conf),1,90,72,0.527,0.5,0.545,0.627,0.808,9,25,34,25,5,5,9,16,0.441,0.321,0.548,0.517,0.647,8,16,24,15,5,4,7,21
10.0,2024-12-07,1,michigan-state,nebraska,REG (Conf),1,89,52,0.518,0.391,0.606,0.598,0.957,11,35,46,20,4,5,14,17,0.333,0.182,0.438,0.37,0.667,4,15,19,8,8,0,11,20
11.0,2024-12-17,2,michigan-state,oakland,REG (Non-Conf),1,77,58,0.433,0.353,0.465,0.483,0.826,15,29,44,14,3,11,12,14,0.302,0.355,0.25,0.389,0.529,15,14,29,12,6,5,8,17
12.0,2024-12-21,1,michigan-state,florida-atlantic,REG (Non-Conf),1,86,69,0.449,0.381,0.479,0.507,0.8,14,34,48,21,3,6,9,17,0.397,0.182,0.5,0.426,0.786,9,25,34,16,5,4,9,22
13.0,2024-12-30,1,michigan-state,western-michigan,REG (Non-Conf),1,80,62,0.5,0.3,0.618,0.556,0.909,8,29,37,20,6,7,16,14,0.414,0.304,0.486,0.474,0.412,8,16,24,14,8,2,15,17
14.0,2025-01-03,0,michigan-state,ohio-state,REG (Conf),1,69,62,0.436,0.167,0.568,0.464,0.818,11,21,32,13,5,5,16,13,0.367,0.259,0.455,0.425,0.688,13,18,31,9,11,2,12,19
15.0,2025-01-09,1,michigan-state,washington,REG (Conf),1,88,54,0.525,0.333,0.625,0.582,0.944,7,29,36,24,10,6,11,17,0.327,0.188,0.385,0.355,0.652,6,17,23,11,6,6,15,16
16.0,2025-01-12,0,michigan-state,northwestern,REG (Conf),1,78,68,0.5,0.5,0.5,0.537,0.741,8,23,31,18,8,5,9,22,0.356,0.2,0.471,0.398,0.778,13,16,29,10,6,4,11,21
17.0,2025-01-15,1,michigan-state,penn-state,REG (Conf),1,90,85,0.471,0.261,0.578,0.515,0.833,12,20,32,24,8,5,9,21,0.528,0.417,0.621,0.623,0.76,6,24,30,20,4,4,14,22
18.0,2025-01-19,1,michigan-state,illinois,REG (Conf),1,80,78,0.431,0.3,0.455,0.454,0.778,11,24,35,14,2,5,8,20,0.424,0.208,0.548,0.462,0.63,13,25,38,16,3,2,10,20
19.0,2025-01-25,0,michigan-state,rutgers,REG (Conf),1,81,74,0.482,0.263,0.595,0.527,0.846,10,30,40,19,2,8,15,19,0.338,0.3,0.368,0.404,0.76,13,17,30,9,10,2,5,20
